Predicted_Disruption_Start,Predicted_Disruption_Duration_hrs,Disruption_Type,Pending_Target_Tons,Days_To_Deadline,Available_Overtime_Capacity_hrs,Recommended_Action,Suggested_Overtime_hrs
10:00,0,None,168,2,3,Normal Operations,0
00:00,0,None,345,8,2,Normal Operations,0
14:00,4,Heavy Rain,117,7,0,Shift to Indoor/Maintenance tasks,0
06:00,5,Heavy Rain,142,3,3,Shift to Indoor/Maintenance tasks,0
17:00,8,Extreme Heat,332,10,1,Front-load Morning Shift,0
08:00,0,None,416,3,4,Normal Operations,0
15:00,8,Heavy Rain,162,7,0,Shift to Indoor/Maintenance tasks,0
14:00,7,Extreme Heat,161,4,2,Front-load Morning Shift,0
14:00,2,Heavy Rain,259,8,2,Front-load Morning Shift,0
00:00,0,None,116,9,4,Normal Operations,0
09:00,5,Heavy Rain,297,9,2,Shift to Indoor/Maintenance tasks,0
15:00,6,Heavy Rain,429,1,3,Pre-emptive Overtime Previous Day,3
02:00,0,None,209,10,4,Normal Operations,0
02:00,0,None,137,9,3,Normal Operations,0
04:00,0,None,140,7,1,Normal Operations,0
19:00,0,None,387,8,0,Normal Operations,0
18:00,6,Heavy Rain,337,1,4,Pre-emptive Overtime Previous Day,4
09:00,0,None,239,4,1,Normal Operations,0
05:00,0,None,155,7,1,Normal Operations,0
16:00,1,Heavy Rain,389,4,1,Front-load Morning Shift,0
01:00,0,None,439,1,3,Normal Operations,0
21:00,0,None,126,7,4,Normal Operations,0
08:00,6,Extreme Heat,273,3,1,Shift to Indoor/Maintenance tasks,0
12:00,0,None,278,9,4,Normal Operations,0
16:00,0,None,457,3,0,Normal Operations,0
08:00,8,Extreme Heat,264,7,3,Shift to Indoor/Maintenance tasks,0
16:00,0,None,345,6,3,Normal Operations,0
08:00,7,Extreme Heat,299,4,3,Shift to Indoor/Maintenance tasks,0
15:00,5,Extreme Heat,254,2,0,Shift to Indoor/Maintenance tasks,0
10:00,7,Extreme Heat,469,3,4,Shift to Indoor/Maintenance tasks,0
13:00,0,None,111,4,0,Normal Operations,0
06:00,0,None,318,5,2,Normal Operations,0
16:00,0,None,494,7,3,Normal Operations,0
18:00,7,Heavy Rain,297,9,0,Shift to Indoor/Maintenance tasks,0
06:00,2,Heavy Rain,184,3,4,Shift to Indoor/Maintenance tasks,0
17:00,5,Extreme Heat,226,10,2,Front-load Morning Shift,0
10:00,2,Heavy Rain,142,4,4,Shift to Indoor/Maintenance tasks,0
10:00,0,None,232,8,0,Normal Operations,0
15:00,5,Heavy Rain,446,5,2,Front-load Morning Shift,0
10:00,2,Heavy Rain,435,10,3,Shift to Indoor/Maintenance tasks,0
19:00,0,None,126,9,1,Normal Operations,0
15:00,5,Extreme Heat,274,10,4,Front-load Morning Shift,0
13:00,7,Heavy Rain,296,10,2,Front-load Morning Shift,0
10:00,0,None,293,4,1,Normal Operations,0
10:00,3,Extreme Heat,272,7,0,Shift to Indoor/Maintenance tasks,0
18:00,0,None,330,3,2,Normal Operations,0
08:00,5,Extreme Heat,428,3,4,Shift to Indoor/Maintenance tasks,0
04:00,0,None,228,1,2,Normal Operations,0
20:00,0,None,469,5,3,Normal Operations,0
18:00,0,None,375,5,3,Normal Operations,0
07:00,7,Extreme Heat,454,4,1,Shift to Indoor/Maintenance tasks,0
17:00,4,Heavy Rain,221,9,0,Shift to Indoor/Maintenance tasks,0
13:00,2,Extreme Heat,467,1,2,Front-load Morning Shift,0
06:00,5,Heavy Rain,388,2,1,Pre-emptive Overtime Previous Day,1
20:00,0,None,300,2,0,Normal Operations,0
16:00,4,Heavy Rain,158,10,2,Front-load Morning Shift,0
07:00,7,Heavy Rain,239,8,4,Shift to Indoor/Maintenance tasks,0
03:00,0,None,304,8,0,Normal Operations,0
19:00,0,None,398,1,2,Normal Operations,0
15:00,2,Extreme Heat,106,10,4,Front-load Morning Shift,0
18:00,8,Heavy Rain,169,1,0,Shift to Indoor/Maintenance tasks,0
03:00,0,None,203,7,4,Normal Operations,0
04:00,0,None,356,10,1,Normal Operations,0
10:00,0,None,413,8,2,Normal Operations,0
15:00,5,Heavy Rain,353,6,4,Front-load Morning Shift,0
02:00,0,None,427,7,4,Normal Operations,0
14:00,1,Heavy Rain,165,8,0,Shift to Indoor/Maintenance tasks,0
18:00,0,None,378,4,3,Normal Operations,0
12:00,4,Heavy Rain,106,6,0,Shift to Indoor/Maintenance tasks,0
15:00,0,None,437,2,3,Normal Operations,0
06:00,5,Extreme Heat,157,10,3,Shift to Indoor/Maintenance tasks,0
01:00,0,None,399,7,1,Normal Operations,0
12:00,6,Heavy Rain,243,4,1,Shift to Indoor/Maintenance tasks,0
09:00,4,Heavy Rain,497,7,2,Shift to Indoor/Maintenance tasks,0
13:00,4,Heavy Rain,356,6,0,Shift to Indoor/Maintenance tasks,0
07:00,8,Heavy Rain,108,5,4,Shift to Indoor/Maintenance tasks,0
15:00,7,Heavy Rain,121,7,2,Front-load Morning Shift,0
11:00,0,None,364,2,1,Normal Operations,0
16:00,5,Extreme Heat,158,6,2,Front-load Morning Shift,0
22:00,0,None,182,8,3,Normal Operations,0
06:00,5,Extreme Heat,443,10,4,Shift to Indoor/Maintenance tasks,0
11:00,7,Heavy Rain,366,1,3,Pre-emptive Overtime Previous Day,3
19:00,0,None,111,3,1,Normal Operations,0
08:00,0,None,420,7,1,Normal Operations,0
10:00,1,Heavy Rain,411,3,1,Shift to Indoor/Maintenance tasks,0
17:00,8,Heavy Rain,433,3,0,Shift to Indoor/Maintenance tasks,0
16:00,6,Extreme Heat,303,6,4,Front-load Morning Shift,0
03:00,0,None,250,4,1,Normal Operations,0
18:00,2,Extreme Heat,213,4,1,Front-load Morning Shift,0
12:00,0,None,409,1,0,Normal Operations,0
15:00,2,Heavy Rain,264,4,2,Front-load Morning Shift,0
07:00,5,Heavy Rain,191,3,0,Shift to Indoor/Maintenance tasks,0
15:00,8,Extreme Heat,287,4,4,Front-load Morning Shift,0
14:00,3,Heavy Rain,116,2,0,Shift to Indoor/Maintenance tasks,0
07:00,0,None,192,8,3,Normal Operations,0
15:00,6,Extreme Heat,375,5,3,Front-load Morning Shift,0
13:00,1,Extreme Heat,133,1,3,Front-load Morning Shift,0
17:00,5,Extreme Heat,432,2,2,Pre-emptive Overtime Previous Day,2
15:00,2,Extreme Heat,175,8,3,Front-load Morning Shift,0
14:00,3,Extreme Heat,349,5,2,Front-load Morning Shift,0
13:00,8,Heavy Rain,393,8,0,Shift to Indoor/Maintenance tasks,0
13:00,6,Heavy Rain,294,9,2,Front-load Morning Shift,0
01:00,0,None,437,5,1,Normal Operations,0
22:00,0,None,364,7,4,Normal Operations,0
00:00,0,None,235,2,3,Normal Operations,0
06:00,0,None,304,9,2,Normal Operations,0
16:00,7,Heavy Rain,119,9,4,Front-load Morning Shift,0
22:00,0,None,169,4,3,Normal Operations,0
10:00,6,Heavy Rain,181,2,4,Pre-emptive Overtime Previous Day,4
07:00,1,Extreme Heat,298,1,0,Shift to Indoor/Maintenance tasks,0
15:00,1,Extreme Heat,234,6,1,Front-load Morning Shift,0
04:00,0,None,486,1,3,Normal Operations,0
13:00,7,Heavy Rain,337,10,0,Shift to Indoor/Maintenance tasks,0
13:00,0,None,214,7,2,Normal Operations,0
19:00,0,None,306,9,2,Normal Operations,0
15:00,0,None,426,4,4,Normal Operations,0
06:00,1,Extreme Heat,159,10,0,Shift to Indoor/Maintenance tasks,0
11:00,8,Heavy Rain,160,1,1,Pre-emptive Overtime Previous Day,1
13:00,2,Extreme Heat,199,5,4,Front-load Morning Shift,0
06:00,8,Heavy Rain,466,4,2,Shift to Indoor/Maintenance tasks,0
09:00,8,Heavy Rain,181,7,4,Shift to Indoor/Maintenance tasks,0
08:00,3,Heavy Rain,254,4,0,Shift to Indoor/Maintenance tasks,0
18:00,6,Heavy Rain,250,5,1,Front-load Morning Shift,0
16:00,0,None,318,4,4,Normal Operations,0
15:00,8,Heavy Rain,187,8,3,Front-load Morning Shift,0
12:00,0,None,298,4,4,Normal Operations,0
09:00,0,None,434,4,1,Normal Operations,0
17:00,5,Heavy Rain,147,1,2,Pre-emptive Overtime Previous Day,2
15:00,6,Heavy Rain,419,1,3,Pre-emptive Overtime Previous Day,3
09:00,0,None,401,9,4,Normal Operations,0
15:00,5,Heavy Rain,455,6,0,Shift to Indoor/Maintenance tasks,0
20:00,0,None,184,5,4,Normal Operations,0
16:00,0,None,286,6,3,Normal Operations,0
20:00,0,None,185,3,1,Normal Operations,0
22:00,0,None,429,1,1,Normal Operations,0
16:00,0,None,480,6,0,Normal Operations,0
10:00,2,Heavy Rain,181,8,1,Shift to Indoor/Maintenance tasks,0
10:00,1,Extreme Heat,262,4,2,Shift to Indoor/Maintenance tasks,0
11:00,1,Heavy Rain,344,10,4,Shift to Indoor/Maintenance tasks,0
01:00,0,None,138,3,1,Normal Operations,0
06:00,6,Extreme Heat,458,4,1,Shift to Indoor/Maintenance tasks,0
12:00,1,Heavy Rain,276,7,3,Shift to Indoor/Maintenance tasks,0
08:00,6,Heavy Rain,498,9,3,Shift to Indoor/Maintenance tasks,0
06:00,4,Extreme Heat,148,5,4,Shift to Indoor/Maintenance tasks,0
03:00,0,None,297,8,3,Normal Operations,0
11:00,0,None,465,8,2,Normal Operations,0
09:00,4,Heavy Rain,409,9,4,Shift to Indoor/Maintenance tasks,0
18:00,4,Extreme Heat,265,9,4,Front-load Morning Shift,0
07:00,2,Heavy Rain,192,1,4,Shift to Indoor/Maintenance tasks,0
08:00,4,Extreme Heat,277,5,2,Shift to Indoor/Maintenance tasks,0
11:00,0,None,171,10,4,Normal Operations,0
17:00,2,Heavy Rain,105,9,2,Front-load Morning Shift,0
08:00,4,Extreme Heat,129,3,0,Shift to Indoor/Maintenance tasks,0
09:00,5,Heavy Rain,487,5,2,Shift to Indoor/Maintenance tasks,0
03:00,0,None,152,3,0,Normal Operations,0
06:00,8,Heavy Rain,145,7,4,Shift to Indoor/Maintenance tasks,0
19:00,0,None,384,3,1,Normal Operations,0
18:00,0,None,200,7,2,Normal Operations,0
12:00,2,Extreme Heat,215,10,2,Shift to Indoor/Maintenance tasks,0
15:00,6,Extreme Heat,214,6,2,Front-load Morning Shift,0
15:00,7,Heavy Rain,430,9,0,Shift to Indoor/Maintenance tasks,0
14:00,7,Extreme Heat,187,6,4,Front-load Morning Shift,0
08:00,4,Heavy Rain,336,3,2,Shift to Indoor/Maintenance tasks,0
01:00,0,None,359,3,0,Normal Operations,0
01:00,0,None,258,5,2,Normal Operations,0
22:00,0,None,330,3,4,Normal Operations,0
18:00,5,Heavy Rain,430,4,1,Front-load Morning Shift,0
20:00,0,None,278,7,4,Normal Operations,0
14:00,1,Heavy Rain,493,9,4,Front-load Morning Shift,0
22:00,0,None,235,1,2,Normal Operations,0
09:00,6,Heavy Rain,167,10,0,Shift to Indoor/Maintenance tasks,0
07:00,5,Heavy Rain,167,6,2,Shift to Indoor/Maintenance tasks,0
23:00,0,None,193,9,4,Normal Operations,0
18:00,8,Heavy Rain,346,9,2,Front-load Morning Shift,0
08:00,2,Extreme Heat,183,9,4,Shift to Indoor/Maintenance tasks,0
17:00,5,Heavy Rain,355,8,4,Front-load Morning Shift,0
14:00,6,Heavy Rain,477,6,4,Front-load Morning Shift,0
17:00,0,None,132,10,4,Normal Operations,0
16:00,2,Heavy Rain,112,4,3,Front-load Morning Shift,0
12:00,0,None,302,5,1,Normal Operations,0
06:00,7,Heavy Rain,145,2,2,Pre-emptive Overtime Previous Day,2
06:00,5,Heavy Rain,466,4,2,Shift to Indoor/Maintenance tasks,0
17:00,8,Extreme Heat,469,10,4,Front-load Morning Shift,0
20:00,0,None,128,8,2,Normal Operations,0
13:00,7,Heavy Rain,307,3,0,Shift to Indoor/Maintenance tasks,0
11:00,2,Heavy Rain,111,8,1,Shift to Indoor/Maintenance tasks,0
16:00,4,Heavy Rain,394,10,1,Front-load Morning Shift,0
07:00,7,Extreme Heat,167,8,3,Shift to Indoor/Maintenance tasks,0
09:00,7,Extreme Heat,442,1,2,Pre-emptive Overtime Previous Day,2
18:00,3,Heavy Rain,152,9,1,Front-load Morning Shift,0
14:00,3,Extreme Heat,421,2,0,Shift to Indoor/Maintenance tasks,0
17:00,0,None,295,10,2,Normal Operations,0
18:00,2,Heavy Rain,451,3,1,Front-load Morning Shift,0
15:00,8,Extreme Heat,104,8,3,Front-load Morning Shift,0
00:00,0,None,197,9,4,Normal Operations,0
16:00,1,Heavy Rain,242,10,0,Shift to Indoor/Maintenance tasks,0
06:00,4,Extreme Heat,229,5,2,Shift to Indoor/Maintenance tasks,0
10:00,0,None,176,10,4,Normal Operations,0
10:00,8,Heavy Rain,316,7,0,Shift to Indoor/Maintenance tasks,0
08:00,8,Extreme Heat,326,9,0,Shift to Indoor/Maintenance tasks,0
16:00,8,Heavy Rain,188,9,1,Front-load Morning Shift,0
02:00,0,None,379,9,2,Normal Operations,0
18:00,5,Heavy Rain,109,5,2,Front-load Morning Shift,0
14:00,4,Extreme Heat,446,10,2,Front-load Morning Shift,0
09:00,3,Extreme Heat,155,6,2,Shift to Indoor/Maintenance tasks,0
14:00,7,Heavy Rain,192,7,1,Front-load Morning Shift,0
09:00,1,Extreme Heat,218,5,1,Shift to Indoor/Maintenance tasks,0
22:00,0,None,137,3,1,Normal Operations,0
06:00,0,None,164,1,0,Normal Operations,0
02:00,0,None,400,1,1,Normal Operations,0
14:00,1,Extreme Heat,490,4,1,Front-load Morning Shift,0
05:00,0,None,117,6,3,Normal Operations,0
15:00,4,Extreme Heat,166,8,2,Front-load Morning Shift,0
22:00,0,None,419,4,4,Normal Operations,0
10:00,6,Extreme Heat,321,10,1,Shift to Indoor/Maintenance tasks,0
15:00,6,Extreme Heat,222,4,0,Shift to Indoor/Maintenance tasks,0
06:00,6,Heavy Rain,106,3,1,Shift to Indoor/Maintenance tasks,0
12:00,6,Heavy Rain,455,9,0,Shift to Indoor/Maintenance tasks,0
07:00,8,Heavy Rain,392,9,2,Shift to Indoor/Maintenance tasks,0
09:00,8,Heavy Rain,323,10,2,Shift to Indoor/Maintenance tasks,0
08:00,5,Heavy Rain,352,6,1,Shift to Indoor/Maintenance tasks,0
17:00,0,None,201,7,1,Normal Operations,0
21:00,0,None,127,9,4,Normal Operations,0
13:00,0,None,404,6,4,Normal Operations,0
10:00,3,Heavy Rain,271,9,2,Shift to Indoor/Maintenance tasks,0
07:00,5,Extreme Heat,149,4,1,Shift to Indoor/Maintenance tasks,0
16:00,1,Heavy Rain,280,6,1,Front-load Morning Shift,0
08:00,4,Extreme Heat,100,3,1,Shift to Indoor/Maintenance tasks,0
20:00,0,None,415,5,2,Normal Operations,0
09:00,2,Extreme Heat,455,7,4,Shift to Indoor/Maintenance tasks,0
12:00,8,Extreme Heat,475,6,4,Shift to Indoor/Maintenance tasks,0
15:00,0,None,330,1,2,Normal Operations,0
16:00,8,Extreme Heat,436,2,1,Pre-emptive Overtime Previous Day,1
15:00,2,Heavy Rain,387,8,1,Front-load Morning Shift,0
16:00,7,Heavy Rain,365,9,0,Shift to Indoor/Maintenance tasks,0
09:00,3,Extreme Heat,430,3,1,Shift to Indoor/Maintenance tasks,0
22:00,0,None,218,4,2,Normal Operations,0
06:00,6,Extreme Heat,295,5,3,Shift to Indoor/Maintenance tasks,0
09:00,5,Extreme Heat,413,7,0,Shift to Indoor/Maintenance tasks,0
19:00,0,None,483,3,2,Normal Operations,0
06:00,6,Extreme Heat,112,4,3,Shift to Indoor/Maintenance tasks,0
09:00,0,None,242,10,1,Normal Operations,0
19:00,0,None,168,10,0,Normal Operations,0
22:00,0,None,186,5,0,Normal Operations,0
00:00,0,None,380,10,1,Normal Operations,0
17:00,7,Extreme Heat,263,1,4,Pre-emptive Overtime Previous Day,4
07:00,0,None,161,2,0,Normal Operations,0
08:00,0,None,289,8,3,Normal Operations,0
16:00,8,Heavy Rain,259,7,4,Front-load Morning Shift,0
16:00,0,None,241,3,4,Normal Operations,0
12:00,7,Heavy Rain,337,5,2,Shift to Indoor/Maintenance tasks,0
11:00,3,Heavy Rain,430,4,3,Shift to Indoor/Maintenance tasks,0
08:00,1,Extreme Heat,434,5,0,Shift to Indoor/Maintenance tasks,0
07:00,0,None,385,6,0,Normal Operations,0
19:00,0,None,111,7,0,Normal Operations,0
19:00,0,None,280,3,3,Normal Operations,0
11:00,6,Extreme Heat,121,2,3,Pre-emptive Overtime Previous Day,3
16:00,5,Extreme Heat,252,10,3,Front-load Morning Shift,0
12:00,2,Heavy Rain,230,2,3,Shift to Indoor/Maintenance tasks,0
13:00,1,Extreme Heat,274,3,1,Front-load Morning Shift,0
07:00,7,Heavy Rain,172,7,3,Shift to Indoor/Maintenance tasks,0
13:00,7,Heavy Rain,374,2,4,Pre-emptive Overtime Previous Day,4
15:00,1,Extreme Heat,160,1,1,Front-load Morning Shift,0
13:00,0,None,387,5,3,Normal Operations,0
17:00,1,Heavy Rain,400,7,0,Shift to Indoor/Maintenance tasks,0
11:00,5,Extreme Heat,289,4,3,Shift to Indoor/Maintenance tasks,0
12:00,2,Heavy Rain,371,1,1,Shift to Indoor/Maintenance tasks,0
12:00,4,Heavy Rain,359,10,0,Shift to Indoor/Maintenance tasks,0
11:00,0,None,136,8,4,Normal Operations,0
07:00,7,Extreme Heat,188,10,3,Shift to Indoor/Maintenance tasks,0
15:00,0,None,495,10,3,Normal Operations,0
16:00,8,Heavy Rain,105,8,4,Front-load Morning Shift,0
10:00,2,Extreme Heat,142,7,2,Shift to Indoor/Maintenance tasks,0
00:00,0,None,218,2,4,Normal Operations,0
05:00,0,None,188,6,4,Normal Operations,0
10:00,5,Extreme Heat,441,1,0,Shift to Indoor/Maintenance tasks,0
12:00,3,Extreme Heat,100,9,0,Shift to Indoor/Maintenance tasks,0
22:00,0,None,202,8,4,Normal Operations,0
15:00,1,Heavy Rain,404,3,4,Front-load Morning Shift,0
15:00,4,Extreme Heat,377,1,1,Pre-emptive Overtime Previous Day,1
00:00,0,None,435,9,1,Normal Operations,0
16:00,6,Extreme Heat,203,4,4,Front-load Morning Shift,0
17:00,7,Extreme Heat,363,10,0,Shift to Indoor/Maintenance tasks,0
10:00,1,Extreme Heat,225,1,3,Shift to Indoor/Maintenance tasks,0
10:00,0,None,188,8,2,Normal Operations,0
13:00,1,Heavy Rain,310,8,0,Shift to Indoor/Maintenance tasks,0
02:00,0,None,261,2,1,Normal Operations,0
16:00,0,None,233,9,4,Normal Operations,0
06:00,8,Heavy Rain,484,1,0,Shift to Indoor/Maintenance tasks,0
11:00,4,Extreme Heat,363,3,0,Shift to Indoor/Maintenance tasks,0
